sigla,nome,descricao,acao
SGP12, Assessoria e Consultoria de Urbanismo e Meio Ambiente,"A Assessoria e Consultoria de Urbanismo e Meio Ambiente é uma das equipes que compõe as Secretarias de Comissões e trabalha no apoio e suporte das atividades das Comissões Permanentes, Extraordinárias e Parlamentares, realizando pesquisas, estudos e diligências, elaboram anteprojetos de pareceres/relatórios e fazem a ponte com os demais órgãos municipais.",
SGP13, Assessoria e Consultoria da Área Social ,"A Assessoria e Consultoria da Área Social é uma das equipes que compõe as Secretarias de Comissões e trabalha no apoio e suporte das atividades das Comissões Permanentes, Extraordinárias e Parlamentares, realizando pesquisas, estudos e diligências, elaboram anteprojetos de pareceres/relatórios e fazem a ponte com os demais órgãos municipais.",
SGP14, Assessoria e Consultoria de Administração Pública,"A Assessoria e Consultoria de Administração Pública é uma das equipes que compõe as Secretarias de Comissões e trabalha no apoio e suporte das atividades das Comissões Permanentes, Extraordinárias e Parlamentares, realizando pesquisas, estudos e diligências, elaboram anteprojetos de pareceres/relatórios e fazem a ponte com os demais órgãos municipais.",
SGP15, Secretaria das Comissões do Processo Legislativo,"A Secretaria das Comissões do Processo Legislativo é uma das equipes que compõe a Secretarias de Comissões e trabalha no apoio e suporte das atividades das Comissões Permanentes, Extraordinárias e Parlamentares, realizando pesquisas, estudos e diligências, elaboram anteprojetos de pareceres/relatórios e fazem a ponte com os demais órgãos municipais.",
SGP16, Secretaria das Comissões Extraordinárias e Temporárias,"A Secretaria das Comissões Extraordinárias e Temporárias Secretaras de Comissões trabalham no apoio e suporte das atividades das Comissões Permanentes, Extraordinárias e Parlamentares, realizando pesquisas, estudos e diligências, elaboram anteprojetos de pareceres/relatórios e fazem a ponte com os demais órgãos municipais.",
SGP21, Apoio ao Plenário,"A Equipe de Apoio ao Plenário é parte integrante das Secretarias de Apoio ao Legislativo e é formada por profissionais ágeis que estão sempre prontos a prestar suporte técnico às atividades desenvolvidas nas Sessões Plenárias. São eles que instrumentam os trabalhos desenvolvidos nas Sessões Plenárias Ordinárias e Extraordinárias, quanto a observância dos dispositivos regimentais, além de estarem sempre atentos para que as proposituras apresentadas sejam lidas e votadas.",
SGP22, Controle do Processo Legislativo,"A Equipe de Controle do Processo Legislativo é parte integrante das Secretarias de Apoio ao Legislativo e é aqui que se da o inicio no processo de tramitação de Projeto de Lei dentro da casa legislativa quando protocola, indexa e autua as proposituras, dando-lhes o devido encaminhamento . Após esta fase primordial onde um texto vira Projeto de Lei (PL), deve acompanhar e registrar todas as etapas de andamento das proposituras, cuidando para que observem-se os prazos legais.",
SGP23, Finalização do Processo Legislativo,"A Equipe de Finalização do Processo Legislativo é parte integrande das Secretarias de Apoio ao Legislativo e é por aqui que os projetos de lei são preparados, registrados e encaminhados para redação final de todos os textos legais, decretados e promulgados. São promovidas à respectiva publicação. Na fase final de tramitação do Projeto de Lei, esta equipe procede a todos os encaminhamentos e comunicações relativas aos textos aprovados e retirados, controlam os prazos que envolvam promulgação de textos legais decretados e procede ao envio das proposições aprovadas.",
SGP31, Documentação do Legislativo,Equipe de Documentação do Legislativo,
SGP32, Biblioteca,Equipe de Biblioteca,
SGP33, Arquivo Geral,"A Equipe de Arquivo Geral, dentro da A Secretaria de Documentação, é a área encarregada de elaborar e manter atualizada a Tabela de Temporalidade Documental, deve manter o arquivo de documentos, processos e atas das Sessões Plenárias, devidamente classificado e preservado, deve manter intercâmbio e incentivar a cooperação entre as instituições congêneres. Dentro das funções dessa equipe é fundamental avaliar, classificar e ordenar os documentos arquivados e proceder à juntada de documentos em processos arquivados, além de atender às consultas e proceder a empréstimos.",
SGP41, Taquigrafia e Revisão,Equipe de Taquigrafia e Revisão,
SGP42, Publicação,"A Equipe de Publicação, dentro da Secretaria de Registro Parlamentar e Revisão, é quem faz a informação cicular e chegar a todo municipe. Providenciam a edição e a publicação na Imprensa Oficial dos textos finais transcritos das atas das sessões plenárias, enviam os documentos dos textos finais transcritos das atas e dos Anais editados das sessões plenárias para arquivo e disponibilização ao Centro de Tecnologia da Informação - CTI e à Secretaria de Documentação. ",
JUST,"Comissão de Constituição, Justiça e Legislação Participativa","Manifestar-se a respeito de todos os assuntos quanto ao aspecto constitucional, legal e jurídico de proposições, oferecendo-lhes substitutivos ou emendas, apresentar a redação final das proposições, fiscalizar e acompanhar o cumprimento das leis aprovadas no Município e dar encaminhamento às sugestões de proposições encaminhadas por entidades civis.",
FIN,Comissão de Finanças e Orçamentos,"Examinar e emitir parecer sobre os projetos de lei relativos ao Orçamento e suas emendas, às contas apresentadas pelo Prefeito, pela Mesa da Câmara e pelo Tribunal de Contas do Município, exercer o acompanhamento e a fiscalização dos planos e programas municipais e elaborar a redação final do projeto de lei orçamentária, bem como realizar audiências públicas relativas ao orçamento.",
URB,"Comissão de Política Urbana, Metropolitana e Meio Ambiente","Opinar e emitir parecer sobre matérias relativas a urbanização, zoneamento, ocupação do solo, obras e serviços públicos e/ou de utilidade pública, divisão do território em áreas administrativas, ao Plano Diretor, ao meio ambiente e controle da poluição, oferecendo-lhes substitutivos ou emendas, tomar a iniciativa de elaboração de proposições e realizar audiências públicas relativas a esses assuntos.",
ADM,Comissão de Administração Pública,"Opinar e emitir parecer sobre matérias relativas a estruturação da administração direta e indireta das empresas do Município, normas gerais de licitações e contratação de produtos, obras e serviços, pessoal (funcionários) e serviços prestados pelo Município direta ou indiretamente (autarquias e afins), oferecendo-lhes substitutivos ou emendas, tomar a iniciativa de elaboração de proposições e realizar audiências públicas relativas a esses assuntos.",
ECON,"Comissão de Trânsito, Transporte, Atividade Econômica, Turismo, Lazer e Gastronomia","Opinar e emitir parecer sobre matérias relativas às atividades econômicas urbana e rural desenvolvidas no Município, desenvolvimento técnico e científico aplicado à indústria e ao comércio, turismo, indústria do lazer, defesa do consumidor, transportes coletivos ou individuais, vias urbanas e estradas municipais e promover as relações intercidades no âmbito nacional e internacional, oferecendo-lhes substitutivos ou emendas, tomar a iniciativa de elaboração de proposições e realizar audiências públicas relativas a esses assuntos.",
EDUC,"Comissão de Educação, Cultura e Esportes","Opinar e emitir parecer sobre matérias relativas a educação, merenda escolar, concessão de bolsas de estudos para pesquisa tecnológica e científica, memória da cidade e de seu patrimônio histórico, cultural, artístico e arquitetônico, denominação de vias e logradouros públicos, concessão de títulos honoríficos, outorga de honrarias, prêmios ou homenagens, serviços e programas culturais, educacionais, esportivos, recreativos e de lazer voltados à comunidade, oferecendo-lhes substitutivos ou emendas, tomar a iniciativa de elaboração de proposições e realizar audiências públicas relativas a esses assuntos.",
SAUDE,"Comissão de Saúde, Promoção Social, Trabalho e Mulher","Opinar e emitir parecer sobre matérias relativas a sistema único de saúde e seguridade social, vigilância sanitária, segurança do trabalho, programas de proteção ao idoso, à mulher, à criança, ao adolescente e a portadores de deficiência, receber e analisar denúncias sobre discriminação racial e ameaças dos interesses e direitos da mulher, oferecendo-lhes substitutivos ou emendas, tomar a iniciativa de elaboração de proposições e realizar audiências públicas relativas a esses assuntos.",
PESQUISA,Setor de Pesquisa e Assessoria de Análise Prévia das Proposituras,Setor de Pesquisa e Assessoria de Análise Prévia das Proposituras,
ARQUIVO, Publicação,"A Equipe de Publicação, dentro da Secretaria de Registro Parlamentar e Revisão, é quem faz a informação cicular e chegar a todo municipe. Providenciam a edição e a publicação na Imprensa Oficial dos textos finais transcritos das atas das sessões plenárias, enviam os documentos dos textos finais transcritos das atas e dos Anais editados das sessões plenárias para arquivo e disponibilização ao Centro de Tecnologia da Informação - CTI e à Secretaria de Documentação. ",
ATM,Secretaria das Comissões,"As Secretarias de Comissões trabalham no apoio e suporte das atividades das Comissões Permanentes, Extraordinárias e Parlamentares, realizando pesquisas, estudos e diligências, elaboram anteprojetos de pareceres/relatórios e fazem a ponte com os demais órgãos municipais.",
LEG3,Secretaria de Apoio Legislativo,"A Secretaria de Apoio Legislativo é quem trabalha que uma propositura seja adequada ao formato de um Projeto de Lei (PL) e assim, seguir tramitando dentro da Camara Municipa de São Paulo, passando por Comissões Especializadas, gabinetes de vereadores que pedem vistas ao PL, chegando ao processo de votação em plenário e, enfim, passando à publicações e arquivamentos.",
DT7,Departamento dos Serviços Legislativos,Departamento dos Serviços Legislativos,
SSP1,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP2,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP3,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP4,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP5,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP6,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP7,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP8,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP9,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP10,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP11,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP12,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP13,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP14,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP15,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP16,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP17,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP18,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP19,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP20,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP21,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP22,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP23,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP24,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP25,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP26,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP27,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP28,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP29,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP30,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP31,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP32,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP33,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP34,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP35,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP36,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP37,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP38,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP39,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP40,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP41,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP42,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP43,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP44,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP45,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP46,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP47,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP48,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP49,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP50,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP51,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP52,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP53,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP54,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP55,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
